Common Name,Distribution,Endangered Species Act Status,NatureServe Global Rank,NatureServe Rounded Global Rank,Scientific Name,Species Group (Fine),View on NatureServe Explorer,_id
Cahaba Shiner,United States: AL (S2),Endangered,G2,G2,Notropis cahabae,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105506/Notropis_cahabae,645ab24495bd22ca2330fc0e
Rio Grande Shiner,"United States: NM (S2), TX (S1)",Under Review,G3,G3,Notropis jemezanus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104556/Notropis_jemezanus,645ab24495bd22ca2330fc0f
Cape Fear Shiner,United States: NC (S1),Endangered,G1,G1,Notropis mekistocholas,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104147/Notropis_mekistocholas,645ab24495bd22ca2330fc10
Sharpnose Shiner,United States: TX (S1),Endangered,G3,G3,Notropis oxyrhynchus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106208/Notropis_oxyrhynchus,645ab24495bd22ca2330fc11
Ozark Shiner,"United States: AR (S3), MO (S2)",Under Review,G3,G3,Notropis ozarcanus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101911/Notropis_ozarcanus,645ab24495bd22ca2330fc12
Peppered Shiner,"United States: AR (S3), OK (S2)",Under Review,G3,G3,Notropis perpallidus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101737/Notropis_perpallidus,645ab24495bd22ca2330fc13
Rocky Shiner,"United States: AR (S2), OK (S3)",Under Review,G3G4,G3,Notropis suttkusi,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103711/Notropis_suttkusi,645ab24495bd22ca2330fc14
Topeka Shiner,"United States: IA (S2), KS (S2), MN (S3), MO (S1), NE (S1), SD (S3)","Endangered; Experimental population, non-essential",G3,G3,Notropis topeka,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105369/Notropis_topeka,645ab24495bd22ca2330fc15
Smoky Madtom,United States: TN (S1),"Endangered; Experimental population, non-essential",G1,G1,Noturus baileyi,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104060/Noturus_baileyi,645ab24495bd22ca2330fc16
Chucky Madtom,"United States: AL (SX), TN (S1)",Endangered,G1,G1,Noturus crypticus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103958/Noturus_crypticus,645ab24495bd22ca2330fc17
