Common Name,Distribution,Endangered Species Act Status,NatureServe Global Rank,NatureServe Rounded Global Rank,Scientific Name,Species Group (Fine),View on NatureServe Explorer,_id
Black-capped Vireo,"United States: KS (SXB), OK (S1B), TX (S3B)",Delisted,G5,G5,Vireo atricapilla,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105332/Vireo_atricapilla,645ab24495bd22ca2330fb66
American Alligator,"United States: AL (S4), AR (S4), FL (S4), GA (S4), LA (S5), MS (S4), NC (S3), OK (S4), SC (S5), TN (S3), TX (S4)",Threatened due to similarity of appearance,G5,G5,Alligator mississippiensis,Crocodilians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100172/Alligator_mississippiensis,645ab24495bd22ca2330fb67
American Crocodile,United States: FL (S2),Endangered; Threatened,G2,G2,Crocodylus acutus,Crocodilians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106064/Crocodylus_acutus,645ab24495bd22ca2330fb68
Guadalupe Fur Seal,"Canada
United States: CA (S1)",Threatened,G1,G1,Arctocephalus townsendi,Mammals,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100800/Arctocephalus_townsendi,645ab24495bd22ca2330fb69
Bowhead,"Canada: NT (S4), NU (SNR), QC (SNA), YT (S3)
United States: AK (SNR), HI (SNR)",Endangered,G3,G3,Balaena mysticetus,Mammals,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100016/Balaena_mysticetus,645ab24495bd22ca2330fb6a
Sei Whale,"Canada: BC (SHN), NB (S1), NS (S1), PE (SNR)
United States: AK (S3), CA (SNR), FL (SNR), GA (SNR), HI (SNR), MA (S1), MD (S1), ME (SNR), NC (SNA), NY (SNA), OR (SNA), RI (SNRN), SC (S1), TX (SNR), VA (SNR), WA (SNA)",Endangered,G5?,G5,Balaenoptera borealis,Mammals,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102708/Balaenoptera_borealis,645ab24495bd22ca2330fb6b
Blue Whale,"Canada: BC (S1N), NS (SNRN), NU (SNR), PE (SNR), QC (S1)
United States: AK (S2), CA (SNR), FL (SNR), HI (SNR), MA (S1), MD (S1), ME (SNR), NY (SNA), OR (SNA), RI (SNRN), SC (SNR), TX (SH)",Endangered,G3G4,G3,Balaenoptera musculus,Mammals,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101880/Balaenoptera_musculus,645ab24495bd22ca2330fb6c
Fin Whale,"Canada: BC (S2N), NB (S2), NS (S2), PE (SNR), QC (S3)
United States: AK (S3), CA (SNR), DE (SNA), FL (SNR), GA (SNR), HI (SNR), MA (S2), MD (S1), ME (SNR), NC (SNA), NJ (S1), NY (S1), OR (SNA), RI (SNRN), SC (SNR), TX (S1), VA (SNA)",Endangered,G3G4,G3,Balaenoptera physalus,Mammals,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103352/Balaenoptera_physalus,645ab24495bd22ca2330fb6d
"Rice's Whale","United States: AL (SNR), FL (SNR), LA (SNR), TX (SNR)",Endangered,G1,G1,Balaenoptera ricei,Mammals,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1215561/Balaenoptera_ricei,645ab24495bd22ca2330fb6e
"Sherman's Short-tailed Shrew",United States: FL (SH),Under Review,GH,GH,Blarina shermani,Mammals,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100006/Blarina_shermani,645ab24495bd22ca2330fb6f
Red Wolf,"United States: AL (SX), AR (SX), FL (SX), GA (SX), IL (SX), IN (SX), KY (SX), LA (SX), MO (SX), MS (SX), NC (S1), OK (SX), SC (SH), TN (SX), TX (SX), VA (SX)","Endangered; Experimental population, non-essential",G1Q,G1,Canis rufus,Mammals,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106386/Canis_rufus,645ab24495bd22ca2330fb70
Utah Prairie Dog,United States: UT (S2),Threatened,G2,G2,Cynomys parvidens,Mammals,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104289/Cynomys_parvidens,645ab24495bd22ca2330fb71
Texas Kangaroo Rat,"United States: OK (S1), TX (S1)",Under Review,G2,G2,Dipodomys elator,Mammals,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101748/Dipodomys_elator,645ab24495bd22ca2330fb72
Giant Kangaroo Rat,United States: CA (S1),Endangered,G1G2,G1,Dipodomys ingens,Mammals,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103814/Dipodomys_ingens,645ab24495bd22ca2330fb73
"Stephens's Kangaroo Rat",United States: CA (S2),Threatened,G2,G2,Dipodomys stephensi,Mammals,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103382/Dipodomys_stephensi,645ab24495bd22ca2330fb74
North Atlantic Right Whale,"Canada: NB (S1), NS (S1), PE (SH), QC (S1)
United States: DE (SXB), FL (S1), GA (S1), MA (S1), MD (S1), ME (SNR), NC (SNA), NJ (S1), NY (SNA), RI (SU), SC (S1), TX (S1)",Endangered,G1,G1,Eubalaena glacialis,Mammals,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.792042/Eubalaena_glacialis,645ab24495bd22ca2330fb75
North Pacific Right Whale,"Canada: BC (S1)
United States: AK (S1), CA (SNR), HI (S1), OR (SNA)",Endangered,G1,G1,Eubalaena japonica,Mammals,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.79.732610/Eubalaena_japonica,645ab24495bd22ca2330fb76
Steller Sea Lion,"Canada: BC (S3B,S4N)
United States: AK (S3), CA (S2), OR (S3), WA (S3N)",Endangered; Delisted,G3,G3,Eumetopias jubatus,Mammals,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104433/Eumetopias_jubatus,645ab24495bd22ca2330fb77
Florida Bonneted Bat,United States: FL (S1),Endangered,G1,G1,Eumops floridanus,Mammals,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104958/Eumops_floridanus,645ab24495bd22ca2330fb78
Hawaiian Hoary Bat,United States: HI (S2),Endangered,G2,G2,Lasiurus semotus,Mammals,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102007/Lasiurus_semotus,645ab24495bd22ca2330fb79
Ocelot,"United States: AR (SX), AZ (S1), LA (SX), TX (S1)",Endangered,G4,G4,Leopardus pardalis,Mammals,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104046/Leopardus_pardalis,645ab24495bd22ca2330fb7a
Mexican Long-nosed Bat,"United States: NM (S2), TX (S1)",Endangered,G3,G3,Leptonycteris nivalis,Mammals,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104259/Leptonycteris_nivalis,645ab24495bd22ca2330fb7b
Lesser Long-nosed Bat,"United States: AZ (S2), CA (S1), NM (S3)",Delisted,G3,G3,Leptonycteris yerbabuenae,Mammals,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106286/Leptonycteris_yerbabuenae,645ab24495bd22ca2330fb7c
Black-footed Ferret,"Canada: AB (SX), SK (SX)
United States: AZ (S1), CO (S1), KS (S1), MT (S1), ND (S1), NE (SH), NM (S1), NN (SX), OK (SX), SD (S1), TX (SX), UT (S1), WY (S1)","Endangered; Experimental population, non-essential",G1,G1,Mustela nigripes,Mammals,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102031/Mustela_nigripes,645ab24495bd22ca2330fb7d
Gray Myotis,"United States: AL (S2), AR (S2), FL (S1), GA (S1), IL (S1), IN (S1), KS (S1B), KY (S2), MO (S3), MS (SH), NC (S1), OK (S1), SC (S1), TN (S2), VA (S1)",Endangered,G3G4,G3,Myotis grisescens,Mammals,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104746/Myotis_grisescens,645ab24495bd22ca2330fb7e
Little Brown Myotis,"Canada: AB (S3B,SNRN,SNRM), BC (S3), LB (S3), MB (S2N,S5B), NB (S1), NF (S3), NS (S1), NT (S3), ON (S3), PE (S1), QC (S1), SK (S4B,S4N), YT (S3B)
United States: AK (S3), AL (S3), AR (S1), CO (S4), CT (S1), DC (S4), DE (S5), FL (SNR), GA (S1), IA (S4), ID (S3), IL (S5), IN (S2), KS (S3), KY (S2), MA (S2), MD (S1), ME (S5), MI (S1), MN (S3), MO (S2), MS (SH), MT (S3), NC (S2), ND (SNR), NE (SNR), NH (S1), NJ (S1), NV (S2), NY (S1), OH (S1), OK (S1), OR (S3), PA (S1), RI (S5), SC (S1), SD (S5), TN (S3), UT (S3), VA (S2), VT (S1), WA (S3), WI (S3), WV (S2), WY (S5)",Under Review,G3G4,G3,Myotis lucifugus,Mammals,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100473/Myotis_lucifugus,645ab24495bd22ca2330fb7f
Northern Long-eared Bat,"Canada: AB (S2), BC (S2), LB (S2), MB (S3N,S4B), NB (S1), NF (S2), NS (S1), NT (S2), ON (S3), PE (S1), QC (S1), SK (S3), YT (S1B)
United States: AL (S2), AR (S1), CT (S1), DC (S4), DE (SU), FL (SH), GA (S1), IA (S4), IL (S1), IN (S2), KS (S3), KY (S1), LA (S1), MA (S1), MD (S1), ME (S1), MI (S1), MN (S3), MO (S1), MS (S1N), MT (S2), NC (S2), ND (SU), NE (S1), NH (S1), NJ (S1), NY (S1), OH (S1), OK (S2), PA (S1), RI (S2), SC (S1), SD (S2), TN (S1), VA (S2), VT (S1), WI (S1), WV (S1), WY (S1B,S1N)",Threatened; Proposed endangered,G2G3,G2,Myotis septentrionalis,Mammals,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102615/Myotis_septentrionalis,645ab24495bd22ca2330fb80
Indiana Myotis,"United States: AL (S2), AR (S1), CT (SHN), GA (S1), IA (S1), IL (S1), IN (S1), KY (S1), MA (SH), MD (S1), MI (S1), MO (S1), MS (S1B), NC (S1), NJ (S1), NY (S1), OH (S1), OK (S1), PA (S1), SC (S1), TN (S1), VA (S1), VT (S1), WV (S1)",Endangered,G2,G2,Myotis sodalis,Mammals,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100428/Myotis_sodalis,645ab24495bd22ca2330fb81
Hawaiian Monk Seal,United States: HI (S2),Endangered,G2,G2,Neomonachus schauinslandi,Mammals,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102125/Neomonachus_schauinslandi,645ab24495bd22ca2330fb82
Caribbean Monk Seal,United States: FL (SX),Delisted,GX,GX,Neomonachus tropicalis,Mammals,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106297/Neomonachus_tropicalis,645ab24495bd22ca2330fb83
Jaguar,"United States: AZ (S1), CA (SNR), LA (SX), NM (S1), TX (SX)",Endangered,G3,G3,Panthera onca,Mammals,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103664/Panthera_onca,645ab24495bd22ca2330fb84
Tricolored Bat,"Canada: NB (S1), NS (S1), ON (S3), QC (S1)
United States: AL (S3), AR (S5), CO (S2), CT (S1), DC (S4), DE (S4), FL (S2), GA (S2), IA (S4), IL (SNR), IN (S2), KS (S4), KY (S2), LA (S4), MA (S1), MD (S1), ME (SU), MI (S1), MN (S3), MO (S2), MS (S3), NC (S3), NE (S3), NH (S1), NJ (S1), NM (S3), NY (S1), OH (S1), OK (S3), PA (S1), RI (S4), SC (S1), TN (S2), TX (S2), VA (S2), VT (S1), WI (S2), WV (S2), WY (S1)",Proposed endangered,G3G4,G3,Perimyotis subflavus,Mammals,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102580/Perimyotis_subflavus,645ab24495bd22ca2330fb85
Sperm Whale,"Canada: BC (S3), QC (S3)
United States: AK (S3), CA (SNR), FL (SNR), GA (SNR), HI (SNR), MA (S1), MD (S1), ME (SNR), MS (SNR), NC (SNA), NY (SNA), OR (SNA), SC (S1), TX (S1)",Endangered,G3G4,G3,Physeter macrocephalus,Mammals,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101043/Physeter_macrocephalus,645ab24495bd22ca2330fb86
Salt-marsh Harvest Mouse,United States: CA (S1),Endangered,G1G2,G1,Reithrodontomys raviventris,Mammals,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102291/Reithrodontomys_raviventris,645ab24495bd22ca2330fb87
West Indian Manatee,"United States: AL (S1), FL (S2), GA (S2), LA (S1N), MS (S1N), NC (S1N), SC (S1), TX (S1)",Threatened,G2G3,G2,Trichechus manatus,Mammals,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103099/Trichechus_manatus,645ab24495bd22ca2330fb88
Northern Idaho Ground Squirrel,United States: ID (S2),Threatened,G2,G2,Urocitellus brunneus,Mammals,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102796/Urocitellus_brunneus,645ab24495bd22ca2330fb89
Polar Bear,"Canada: LB (S2), MB (S2), NT (S3), NU (S3), ON (S3), QC (S3), YT (S1)
United States: AK (S2)",Threatened,G3,G3,Ursus maritimus,Mammals,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102211/Ursus_maritimus,645ab24495bd22ca2330fb8a
Temblor Legless Lizard,United States: CA (S1),Under Review,G1,G1,Anniella alexanderae,Reptiles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.960627/Anniella_alexanderae,645ab24495bd22ca2330fb8b
Eastern Diamond-backed Rattlesnake,"United States: AL (S3), FL (S3), GA (S4), LA (S1), MS (S3), NC (S1), SC (S3)",Under Review,G3,G3,Crotalus adamanteus,Reptiles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101938/Crotalus_adamanteus,645ab24495bd22ca2330fb8c
Eastern Indigo Snake,"United States: AL (S1), FL (S2), GA (S2), MS (SX), SC (SNR)",Threatened,G3,G3,Drymarchon couperi,Reptiles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102208/Drymarchon_couperi,645ab24495bd22ca2330fb8d
Blunt-nosed Leopard Lizard,United States: CA (S1),Endangered,G1,G1,Gambelia sila,Reptiles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101103/Gambelia_sila,645ab24495bd22ca2330fb8e
Northern Spot-tailed Earless Lizard,United States: TX (S2),Under Review,GNR,GNR,Holbrookia lacerata,Reptiles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.835515/Holbrookia_lacerata,645ab24495bd22ca2330fb8f
Short-tailed Kingsnake,United States: FL (S3),Under Review,G3,G3,Lampropeltis extenuata,Reptiles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106507/Lampropeltis_extenuata,645ab24495bd22ca2330fb90
Concho Watersnake,United States: TX (S1),Delisted,G1,G1,Nerodia paucimaculata,Reptiles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103615/Nerodia_paucimaculata,645ab24495bd22ca2330fb91
Louisiana Pinesnake,"United States: LA (S2), TX (S1)",Threatened,G1G2,G1,Pituophis ruthveni,Reptiles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102626/Pituophis_ruthveni,645ab24495bd22ca2330fb92
Florida Sand Skink,United States: FL (S3),Threatened,G3,G3,Plestiodon reynoldsi,Reptiles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100093/Plestiodon_reynoldsi,645ab24495bd22ca2330fb93
Dunes Sagebrush Lizard,"United States: NM (S2), TX (S1)",Under Review,G1,G1,Sceloporus arenicolus,Reptiles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105095/Sceloporus_arenicolus,645ab24495bd22ca2330fb94
Florida Scrub Lizard,United States: FL (S2),Under Review,G2G3,G2,Sceloporus woodi,Reptiles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100784/Sceloporus_woodi,645ab24495bd22ca2330fb95
Eastern Massasauga,"Canada: ON (S3)
United States: IA (SNR), IL (S1), IN (S2), MI (S3), MO (SX), NY (S1), OH (S2), PA (S1), WI (S1)",Threatened,G3,G3,Sistrurus catenatus,Reptiles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105543/Sistrurus_catenatus,645ab24495bd22ca2330fb96
Rim Rock Crowned Snake,United States: FL (S1),Proposed endangered,G1G2,G1,Tantilla oolitica,Reptiles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105313/Tantilla_oolitica,645ab24495bd22ca2330fb97
Giant Gartersnake,United States: CA (S2),Threatened,G2,G2,Thamnophis gigas,Reptiles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106098/Thamnophis_gigas,645ab24495bd22ca2330fb98
Narrow-headed Gartersnake,"United States: AZ (S2), NM (S2)",Threatened,G3G4,G3,Thamnophis rufipunctatus,Reptiles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103150/Thamnophis_rufipunctatus,645ab24495bd22ca2330fb99
Coachella Fringe-toed Lizard,United States: CA (S1),Threatened,G1Q,G1,Uma inornata,Reptiles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103488/Uma_inornata,645ab24495bd22ca2330fb9a
Yuman Desert Fringe-toed Lizard,United States: AZ (S2),Under Review,GUQ,GU,Uma rufopunctata,Reptiles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1163682/Uma_rufopunctata,645ab24495bd22ca2330fb9b
Island Night Lizard,United States: CA (S3),Delisted,G3,G3,Xantusia riversiana,Reptiles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106467/Xantusia_riversiana,645ab24495bd22ca2330fb9c
Loggerhead Sea Turtle,"Canada
United States: AL (S1), CA (SNR), CT (S1N), DE (SNA), FL (S3), GA (S3), LA (S1B,S3N), MA (S1N), MD (S1B,S1N), ME (SNR), MS (S1B), NC (S2B), NJ (S1M), NY (S1N), OR (SNA), RI (SNR), SC (S3), TX (S4), VA (S1B,S1N)",Endangered; Threatened,G3,G3,Caretta caretta,Turtles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105239/Caretta_caretta,645ab24495bd22ca2330fb9d
Green Sea Turtle,"Canada
United States: AL (S1), CA (S4), CT (S1N), DE (SNA), FL (S2), GA (S1), HI (S3), LA (S1M), MA (S1N), MD (S1N), ME (SNR), MS (SNA), NC (S1B), NJ (S1M), NY (S1N), OR (SNA), RI (SNR), SC (S1), TX (S3B,S3N), VA (SNA)",Endangered; Threatened,G3,G3,Chelonia mydas,Turtles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104885/Chelonia_mydas,645ab24495bd22ca2330fb9e
Spotted Turtle,"Canada: ON (S2)
United States: CT (S3), DC (S1), DE (S3), FL (S2), GA (S3), IL (S1), IN (S2), MA (S4), MD (S3), ME (S3), MI (S2), NC (S4), NH (S2), NJ (S3), NY (S3), OH (S3), PA (S3), RI (S5), SC (S3), VA (S4), VT (S1), WV (S1)",Under Review,G5,G5,Clemmys guttata,Turtles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100580/Clemmys_guttata,645ab24495bd22ca2330fb9f
Leatherback Sea Turtle,"Canada: BC (S1N), NB (SNRN), NS (SNRN), PE (SNR), QC (S3N)
United States: AK (S2), CA (SNA), CT (S1N), DE (SNA), FL (S2), GA (S1), HI (S1), LA (S1M), MA (S1N), MD (S1N), ME (SNR), MS (SNA), NC (S1B,SUN), NH (SNR), NJ (S1M), NY (S1N), OR (SNA), RI (SNR), SC (S1), TX (S1), VA (SNA)",Endangered,G2,G2,Dermochelys coriacea,Turtles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103708/Dermochelys_coriacea,645ab24495bd22ca2330fba0
"Blanding's Turtle","Canada: NS (S1), ON (S3), QC (S2)
United States: IA (S3), IL (S3), IN (S2), MA (S2), ME (S2), MI (S2), MN (S2), MO (S1), NE (S4), NH (S1), NY (S2), OH (S2), PA (S1), SD (SH), WI (S3)",Under Review,G4,G4,Emydoidea blandingii,Turtles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100408/Emydoidea_blandingii,645ab24495bd22ca2330fba1
Hawksbill Sea Turtle,"United States: CA (SNA), DE (SNA), FL (S1), HI (S1), LA (S1M), MS (SNA), NJ (S1M), RI (SNR), SC (S1N), TX (S2)",Endangered,G3,G3,Eretmochelys imbricata,Turtles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102642/Eretmochelys_imbricata,645ab24495bd22ca2330fba2
Wood Turtle,"Canada: NB (S2), NS (S2), ON (S2), QC (S3)
United States: CT (S3), DC (SH), IA (S1), MA (S3), MD (S2), ME (S4), MI (S2), MN (S2), NH (S3), NJ (S2), NY (S3), PA (S3), RI (S2), VA (S2), VT (S3), WI (S3), WV (S3)",Under Review,G3,G3,Glyptemys insculpta,Turtles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100280/Glyptemys_insculpta,645ab24495bd22ca2330fba3
Bog Turtle,"United States: CT (S1), DC (SX), DE (S1), GA (S2), MA (S1), MD (S2), NC (S2), NJ (S1), NY (S2), PA (S2), SC (S1), TN (S1), VA (S2)",Threatened; Threatened due to similarity of appearance,G2G3,G2,Glyptemys muhlenbergii,Turtles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101495/Glyptemys_muhlenbergii,645ab24495bd22ca2330fba4
Mohave Desert Tortoise,"United States: AZ (S2), CA (S2), NV (S2), UT (S2)",Threatened,G3,G3,Gopherus agassizii,Turtles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102027/Gopherus_agassizii,645ab24495bd22ca2330fba5
"Barbour's Map Turtle","United States: AL (S2), FL (S2), GA (S3)",Proposed threatened due to similarity of appearance,G2,G2,Graptemys barbouri,Turtles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105092/Graptemys_barbouri,645ab24495bd22ca2330fba6
Escambia Map Turtle,"United States: AL (S2), FL (S2)",Proposed threatened due to similarity of appearance,G2,G2,Graptemys ernsti,Turtles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103688/Graptemys_ernsti,645ab24495bd22ca2330fba7
Yellow-blotched Map Turtle,United States: MS (S2),Threatened,G2G3,G2,Graptemys flavimaculata,Turtles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103582/Graptemys_flavimaculata,645ab24495bd22ca2330fba8
Pascagoula Map Turtle,United States: MS (S2),Proposed threatened due to similarity of appearance,G2G3,G2,Graptemys gibbonsi,Turtles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.844122/Graptemys_gibbonsi,645ab24495bd22ca2330fba9
Black-knobbed Map Turtle,"United States: AL (S4), MS (S2)",Under Review,G3,G3,Graptemys nigrinoda,Turtles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106155/Graptemys_nigrinoda,645ab24495bd22ca2330fbaa
Ringed Map Turtle,"United States: LA (S2), MS (S2)",Threatened,G2,G2,Graptemys oculifera,Turtles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105779/Graptemys_oculifera,645ab24495bd22ca2330fbab
Pearl River Map Turtle,"United States: LA (S3), MS (S2)",Proposed threatened,G2G3,G2,Graptemys pearlensis,Turtles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.844120/Graptemys_pearlensis,645ab24495bd22ca2330fbac
Alabama Map Turtle,"United States: AL (S3), GA (S3), MS (S2)",Proposed threatened due to similarity of appearance,G4,G4,Graptemys pulchra,Turtles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103963/Graptemys_pulchra,645ab24495bd22ca2330fbad
"Kemp's Ridley Sea Turtle","Canada
United States: AL (S1), CT (S1N), DE (SNA), FL (S1), GA (S1), LA (S1B,S3N), MA (S1N), MD (S1N), ME (SNR), MS (S1N,S1B), NC (S1B,SUN), NH (SNR), NJ (S1M), NY (S1N), RI (SNR), SC (S1N), TX (S3), VA (S1N)",Endangered,G1,G1,Lepidochelys kempii,Turtles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100121/Lepidochelys_kempii,645ab24495bd22ca2330fbae
Olive Ridley Sea Turtle,"United States: AK (SNA), CA (SNA), HI (S1), OR (SNA)",Endangered; Threatened,G2G4,G3,Lepidochelys olivacea,Turtles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106179/Lepidochelys_olivacea,645ab24495bd22ca2330fbaf
Suwannee Alligator Snapping Turtle,"United States: FL (S2), GA (S2)",Proposed threatened,G2,G2,Macrochelys suwanniensis,Turtles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.23.32240/Macrochelys_suwanniensis,645ab24495bd22ca2330fbb0
Alligator Snapping Turtle,"United States: AL (S3), AR (S3), FL (S3), GA (S3), IA (SU), IL (S1), IN (SH), KY (S1), LA (S3), MO (S2), MS (S3), OK (S2), TN (S2), TX (S2)",Proposed threatened,G3,G3,Macrochelys temminckii,Turtles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102590/Macrochelys_temminckii,645ab24495bd22ca2330fbb1
Alabama Red-bellied Cooter,"United States: AL (S1), MS (S1)",Endangered,G1,G1,Pseudemys alabamensis,Turtles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100294/Pseudemys_alabamensis,645ab24495bd22ca2330fbb2
Florida Red-bellied Cooter,"United States: FL (S5), GA (S2), TX (SNA)",Under Review,G5,G5,Pseudemys nelsoni,Turtles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104452/Pseudemys_nelsoni,645ab24495bd22ca2330fbb3
Flattened Musk Turtle,United States: AL (S2),Threatened,G1,G1,Sternotherus depressus,Turtles,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105823/Sternotherus_depressus,645ab24495bd22ca2330fbb4
Shortnose Sturgeon,"Canada: NB (S3)
United States: CT (S1), DC (SX), DE (S3N), FL (S1), GA (S2), MA (S1), MD (S1), ME (S3), NC (S1), NH (S1), NJ (S1), NY (S1), PA (S2), RI (SH), SC (S3), VA (SHB,S1N)",Endangered,G3,G3,Acipenser brevirostrum,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105033/Acipenser_brevirostrum,645ab24495bd22ca2330fbb5
Lake Sturgeon,"Canada: AB (S1), MB (S2), ON (S3), QC (S3), SK (S2)
United States: AL (S1), AR (S2), GA (S3), IA (S1), IL (S1), IN (S1), KS (SH), KY (S1), MI (S2), MN (S3), MO (S1), NC (S1), ND (SX), NE (S1), NY (S2), OH (S1), PA (S1), SD (S2), TN (S1), VT (S1), WI (S3), WV (SX)",Under Review,G3G4,G3,Acipenser fulvescens,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104232/Acipenser_fulvescens,645ab24495bd22ca2330fbb6
Northern Cavefish,United States: KY (S3),Under Review,G2G3,G2,Amblyopsis spelaea,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1005197/Amblyopsis_spelaea,645ab24495bd22ca2330fbb7
Modoc Sucker,"United States: CA (S2), OR (S1)",Delisted,G2G3,G2,Catostomus microps,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101328/Catostomus_microps,645ab24495bd22ca2330fbb8
